title,type,release_date,label,producer,artists,lyrics,composers,arrangers,tracklist
Z, Album,21/12/2005,,,Zwei,,,,
Zaishou no Lucifer [Type A], Single,29/03/2017,Stand-Up! Records,CROWN TOKUMA music distribution,Iketeru Hearts,,,,
Zaishou no Lucifer [CD+DVD], Single,29/03/2017,Stand-Up! Records,CROWN TOKUMA music distribution,Iketeru Hearts,,,,
Zaika ni Keiyaku no Chi wo, Single,25/06/2008,,,PHANTASM,,,,
Zaika, Single,15/02/2010,,,Mettle,,,,
"Zaijou ""Gluttony"" [Type B]", Single,24/06/2015,Double River Record,,The 3rd Birthday,,,,
"Zaijou ""Gluttony"" [Type A]", Single,24/06/2015,Double River Record,,The 3rd Birthday,,,,
Zai Zai, Album,18/12/2006,EE-Media,,Huang Ya Li,,,,
Zai Wu Feng Shi, Digital Single,10/12/2018,WAJIJIWA Entertainment,,Mao Bu Yi,,,,
Zai Wo Xin Shen Chu, Vinyle,01/05/1987,Polydor Hong Kong,PolyGram Records,Jacky Cheung,,,,
Zai Wo Xiang Qi Lai, Digital Single,07/09/2012,Bravo Entertainment,,Demon Li,,,,
Zai Wei Lai, Digital Single,20/11/2021,UNICEF China Office,,Roy Wang,,,,
Zai Shui Yi Ci Yes I Do, Mini-Album,23/12/2014,avex Taiwan,,Lin Yo Wei,,,,
Zai Shi Jie Zhong Xin, Album,28/09/2007,,,Kelly Poon,,,,
Zai Ni Shen Pang (I'll be there), Digital Single,28/02/2020,SM Entertainment,DREAMUS,Zhou Mi,,,,
Zai Ni Bei Ying Shou Hou [Cassette], Cassette audio,1989,Linfair Records,Linfair Magnetic Sound,Winnie Hsin,,,,
ZALZARA, Digital Single,26/07/2016,Mystic Entertainment,LOEN Entertainment,Muzie,,,,
Zakurogata no Yuuutsu, Single,28/07/2004,PS COMPANY,,the GazettE,RUKI [the GazettE],,,
Zakuro Iro no Tsuki to Kurutta Koi no Senritsu, Single,10/10/1999,Daiki Sound,,Merrygoround,,,,
Zakuro / Kyouki no Melody [Limited Edition], Single,14/07/2021,Bushiroad Music,Bushiroad Music,Fantôme Iris,,,,
Zakuro / Kyouki no Melody, Single,14/07/2021,Bushiroad Music,Bushiroad Music,Fantôme Iris,,,,
Zakuro, Single,14/02/2009,,,Baletta,,,,
Zakuro, Single,19/03/2008,,,D'ERLANGER,,,,
ZAIYA LIVE, Live Album,05/07/1996,Electric Bird,King Records,Kenso,,,,
Zaishou no Lucifer [Type D], Single,29/03/2017,Stand-Up! Records,CROWN TOKUMA music distribution,Iketeru Hearts,,,,
Zaishou no Lucifer [Type C], Single,29/03/2017,Stand-Up! Records,CROWN TOKUMA music distribution,Iketeru Hearts,,,,
Zaishou no Lucifer [Type B], Single,29/03/2017,Stand-Up! Records,CROWN TOKUMA music distribution,Iketeru Hearts,,,,
Zai Ni Bei Ying Shou Hou, Album,1989,Linfair Records,Linfair Magnetic Sound,Winnie Hsin,,,,
Zai Na Yao Yuan De Di Fang, Digital Single,31/05/2015,Chia Tai Music Entertainment,,A Lu A Zhuo,,,,
Zai Lu Pang, Album,06/03/2006,,,Zhong Li Feng,,,,
Zai Jian Bu Zai Jian, Digital Single,21/05/2015,Great China Mania,,Shila Amzah,,,,
Zai Jian, Digital Single,07/10/2015,Great China Mania,,Shila Amzah,,,,
Zài Huǐmiè Qián, Album,11/06/2010,,,OverDose (Rock),,,,
ZAPPING, Mini-Album,09/09/2019,FNC Entertainment,Kakao M,FTISLAND,,,,
Zap Mai Bat Fui, Album,05/02/1993,Cinepoly Records,PolyGram Records,Faye Wong,,,,
Zanzou [Limited Edition], Single,03/02/2010,A-Sketch,,flumpool,Yamamura Ryuta,"Sakai Kazuki,Tokita Satoshi","Furukawa Takahiro,Momota Rui,Tamai Kenji",
Zanzou, Single,03/02/2010,A-Sketch,,flumpool,Yamamura Ryuta,,"Furukawa Takahiro,Momota Rui,Tamai Kenji",
Zanza Misaki [Cassette], Cassette audio,22/10/2008,TEICHIKU RECORDS,TEICHIKU ENTERTAINMENT,Iriyama Akiko,,,,
Zanza Misaki, Single,22/10/2008,TEICHIKU RECORDS,TEICHIKU ENTERTAINMENT,Iriyama Akiko,,,,
Zany Zap Complex #1, Compilation,22/07/2009,,,"Golden Bomber,MANNEQUIN,SINCREA",,,,
Zantou/ Jyusouka, Single,15/06/2009,,,VIRGENOW,,,,
Zantou / Orange, Single,16/07/2008,Like an Edison Distribution,,as.milk,,,,
Zantetsuken [Limited Pressing], Single,26/09/2012,Danger Crue Records,avex Marketing,girugämesh,,,,
Zannen Kei Rinjinbu★★☆ (Hoshi Futatsu Han), Single,26/10/2011,Media Factory,,Tomodachi Tsukuritai,Arimori Satomi,,Tom-H@ck,
Zankyou Sanka / Asa ga Kuru [Limited Edition], Single,12/01/2022,nocturne,Sony Music Labels,Aimer,Aimer,,"Tamai Kenji,Tobinai Masahiro",
Zankyou Sanka / Asa ga Kuru [Limited Anime Edition], Single,12/01/2022,nocturne,Sony Music Labels,Aimer,Aimer,,"Tamai Kenji,Tobinai Masahiro",
Zankyou Sanka / Asa ga Kuru, Single,12/01/2022,nocturne,Sony Music Labels,Aimer,Aimer,,"Tamai Kenji,Tobinai Masahiro",
Zankyou Reference [Limited Edition], Album,05/10/2011,Amuse,A-Sketch,ONE OK ROCK,"Ryota [ONE OK ROCK],Taka [ONE OK ROCK],Tomoya [ONE OK ROCK]","ONE OK ROCK,Ryota [ONE OK ROCK],Taka [ONE OK ROCK],Tomoya [ONE OK ROCK],Toru [ONE OK ROCK]","akkin,Korenaga Koichi,ONE OK ROCK",
Zankyou Reference, Album,05/10/2011,Amuse,A-Sketch,ONE OK ROCK,"Ryota [ONE OK ROCK],Taka [ONE OK ROCK],Tomoya [ONE OK ROCK]","ONE OK ROCK,Ryota [ONE OK ROCK],Taka [ONE OK ROCK],Tomoya [ONE OK ROCK],Toru [ONE OK ROCK]","akkin,Korenaga Koichi,ONE OK ROCK",
Zankyou no Melody, Single,01/05/2011,,,BabyDollSymphony,,,,
Zee Avi's Nightlight, Album,22/04/2014,Little Monster Records,,Zee Avi,,,,
Zee Avi, Album,26/08/2009,Rounder Records,Universal Music Japan (2),Zee Avi,,,,
Zecchoushuu, Single,13/09/2000,Toshiba EMI,,Shiina Ringo,Shiina Ringo,,Kameda Seiji,
Zecchou*Emotion [Limited Edition], Single,30/01/2019,Aniplex,Sony Music Marketing,B-PROJECT,Shikura Chiyomaru,,"Kushita Mine,Yuki Shinichi (compositeur)",
Zecchou*Emotion, Single,30/01/2019,Aniplex,Sony Music Marketing,B-PROJECT,Shikura Chiyomaru,,"Kushita Mine,Yuki Shinichi (compositeur)",
Zecchou DAYBREAK, Single,27/08/2014,,,"Morikawa Toshiyuki,Morikubo Shotaro,Ono Kensho,Suzuki Tatsuhisa,Taniyama Kishow",Teruji Yoshizawa,,Ohnishi Shogo,
Zecchou BANG!!, Single,04/07/2012,Danger Crue Records,avex Marketing,girugämesh,,,,
Zealot City [Limited Edition], Album,11/11/2020,Warner Music Japan,Warner Music Japan,a crowd of rebellion,,,,
Zealot City, Album,11/11/2020,Warner Music Japan,Warner Music Japan,a crowd of rebellion,,,,
ZEAL of proud [Limited Edition], Single,20/01/2021,Bushiroad Music,Bushiroad Music,Roselia,Oda Asuka (parolière),"Fujinaga Ryutaro,Takeda Yusuke [Elements Garden]","Fujinaga Ryutaro,Takeda Yusuke [Elements Garden]",
ZEAL of proud, Single,20/01/2021,Bushiroad Music,Bushiroad Music,Roselia,Oda Asuka (parolière),"Fujinaga Ryutaro,Takeda Yusuke [Elements Garden]","Fujinaga Ryutaro,Takeda Yusuke [Elements Garden]",
Ze≠mare / Nureru shita, Single,26/08/2004,,,Madara,,,,
Ze Wai Ceon Coi, Digital Single,02/04/2020,The Voice Entertainment Group Limited,,Jinny Ng,,,,
ZBAM, Album,25/11/2004,avex trax,,Clazziquai,,,,
Zazen Extasy, DVD,17/09/2008,EMI Music Japan,,Shiina Ringo,Shiina Ringo,,"Kameda Seiji,Shiina Ringo",
Zazen Boys III, Album,18/01/2006,Matsuri Studio,Daiki Sound,ZAZEN BOYS,,,,
Zazen Boys II, Album,01/09/2004,Matsuri Studio,Daiki Sound,ZAZEN BOYS,,,,
Zenbu Ii (DEMO TRACK), Digital Single,02/03/2020,Studio Cubic Records,PONY CANYON,Non Stop Rabbit,,,,
Zenbu Dakishimete / Ao no Jidai [Réédition], Single,26/12/2007,Johnny's Entertainment,Sony Music Entertainment Japan,KinKi Kids,"canna,Kan Chinfa","canna,Yoshida Takuro","Shinkawa Hiroshi,Takebe Satoshi",
Zenbu Dakishimete / Ao no Jidai, Single,29/07/1998,Johnny's Entertainment,Sony Music Entertainment Japan,KinKi Kids,"canna,Kan Chinfa","canna,Yoshida Takuro","Shinkawa Hiroshi,Takebe Satoshi",
Zenbu Corona no Sei da!, Digital Single,16/03/2020,bloom,,mama.,,,,
Zenbu Boku no Sei da., Single,16/10/2020,"Codomomental, Inc.",,Zenbu Kimi no Sei da.,,,,
Zenbu Anata no Sei Nan da, Digital Single,06/05/2020,rhythm zone,avex Entertainment (2),I Don't Like Mondays.,,,,
Zenamai Shojohako Ningyo, Single,22/09/2004,,,Kokusyoku Sumire,,,,
Zen Zen Rhyme, Album,05/05/2014,Independent Issue Records,,Sang Ji Ping Cuo,,,,
Zen Yang, Album,01/01/2001,EMI Music Taiwan,,Penny Tai,,,,
Zen Sekai Teki Touch Panel, Single,13/08/2010,,,MOSAIC.WAV,,,,
Zen Nihon Omoshiro Senshuken [Type B], Album,15/03/2017,YAMAHA MUSIC COMMUNICATIONS,,Jin-Machine,,,,
Zen Nihon Omoshiro Senshuken [Type A], Album,15/03/2017,YAMAHA MUSIC COMMUNICATIONS,,Jin-Machine,,,,
Zen Mo Huan Bu Ai, Digital Single,24/08/2015,Sony Music Entertainment Taiwan,,Yang Kai Lin,"Huang Zu Yin,Yu Chen Mao",,David Anthony,
Zen Mirai, Single,02/04/2003,Stereoglider,Owl Works,throwcurve,,,,
Zen Mashi, Album,01/05/2011,,,Paraoka (cercle doujin),,,,
Zen A Men, Album,04/07/2018,Studio Cubic Records,Daiki Sound,Non Stop Rabbit,,,,
ZEN, Single,24/02/2004,,,ATTACK HAUS,"ATTACK HAUS,MASASHI [CASCADE]","ATTACK HAUS,MASASHI [CASCADE]",ATTACK HAUS,
Zenkyokushuu ~Chiran no Haha~ [Cassette], Cassette audio,26/06/2002,UNIVERSAL J,Universal Music Japan (1),Utagawa Fumiko,"Futaki Yoko,Kuraoka Hiroko,Miyagawa Hiroshi (compositeur 2),Satomura Ryuichi,Teppo Mitsusaburo,Utagawa Fumiko,Wada Kenichi","Ikeda Takaharu,Kuni Hiroshi,Miyagawa Hiroshi (compositeur 2),Oka Chiaki,Teppo Mitsusaburo",Ikeda Takaharu,
Zenkyokushuu ~Chiran no Haha~, Best Album,26/06/2002,UNIVERSAL J,Universal Music Japan (1),Utagawa Fumiko,"Futaki Yoko,Kuraoka Hiroko,Miyagawa Hiroshi (compositeur 2),Satomura Ryuichi,Teppo Mitsusaburo,Utagawa Fumiko,Wada Kenichi","Ikeda Takaharu,Kuni Hiroshi,Miyagawa Hiroshi (compositeur 2),Oka Chiaki,Teppo Mitsusaburo",Ikeda Takaharu,
Zenkyokushuu [Cassette], Cassette audio,13/07/2005,UNIVERSAL J,Universal Music Japan (1),Utagawa Fumiko,"Miyagawa Hiroshi (compositeur 2),Satomura Ryuichi,Teppo Mitsusaburo,Utagawa Fumiko,Wada Kenichi","Kuni Hiroshi,Miura Hiroaki (compositeur),Miyagawa Hiroshi (compositeur 2),Oka Chiaki,Teppo Mitsusaburo",Ikeda Takaharu,
Zenkyokushuu [1995], Best Album,07/06/1995,Taurus Records,PolyGram,Utagawa Fumiko,"Endo Minoru,Ide Haku,Mizuki Kaoru (parolier),Satomura Ryuichi,Suzuki Munetoshi","Endo Minoru,Oka Chiaki","Ikeda Takaharu,Maeda Toshiaki,Tadano Michiyasu",
Zenkyokushuu [1995 / Cassette], Cassette audio,07/06/1995,Taurus Records,PolyGram,Utagawa Fumiko,"Endo Minoru,Ide Haku,Mizuki Kaoru (parolier),Satomura Ryuichi,Suzuki Munetoshi","Endo Minoru,Oka Chiaki","Ikeda Takaharu,Maeda Toshiaki,Tadano Michiyasu",
Zenkyokushuu '98 ~Hokutou Banka~ [Cassette], Cassette audio,24/11/1997,Nu Taurus,PolyGram,Utagawa Fumiko,"Futaki Yoko,Izuka Yoshimi,Kamihara Yujiro,Satomura Ryuichi","Igarashi Yasuo,Ikeda Takaharu,Kamihara Yujiro,Oka Chiaki","Ikeda Takaharu,Tadano Michiyasu",
Zenkyokushuu '98 ~Hokutou Banka~, Best Album,24/11/1997,Nu Taurus,PolyGram,Utagawa Fumiko,"Futaki Yoko,Izuka Yoshimi,Kamihara Yujiro,Satomura Ryuichi","Igarashi Yasuo,Ikeda Takaharu,Kamihara Yujiro,Oka Chiaki","Ikeda Takaharu,Tadano Michiyasu",
Zenkyokushuu '91 [Cassette], Cassette audio,14/11/1990,Taurus Records,Toshiba EMI,Utagawa Fumiko,"Endo Minoru,Ide Haku,Mizuki Kaoru (parolier)",,"Maeda Toshiaki,Tadano Michiyasu",
Zenkyokushuu '91, Best Album,14/11/1990,Taurus Records,Toshiba EMI,Utagawa Fumiko,"Endo Minoru,Ide Haku,Mizuki Kaoru (parolier)",,"Maeda Toshiaki,Tadano Michiyasu",
Zenkyokushuu, Best Album,13/07/2005,UNIVERSAL J,Universal Music Japan (1),Utagawa Fumiko,"Miyagawa Hiroshi (compositeur 2),Satomura Ryuichi,Teppo Mitsusaburo,Utagawa Fumiko,Wada Kenichi","Kuni Hiroshi,Miura Hiroaki (compositeur),Miyagawa Hiroshi (compositeur 2),Oka Chiaki,Teppo Mitsusaburo",Ikeda Takaharu,
Zenkyokushuu, Album,02/11/2005,,,Yoshi Ikuzo,Yoshi Ikuzo,,"Ikeda Takaharu,Kyo Kensuke",
Zenkyoku Shu, Album,24/03/2004,TEICHIKU RECORDS,TEICHIKU ENTERTAINMENT,Kaji Meiko,"Ito Shunya,Koike Kazuo","Hirao Masaaki,Kikuchi Shunsuke (compositeur)",Kikuchi Shunsuke (compositeur),
Zenkyoku Nyuukon, Album,11/01/2016,XIV MUSIQUE,,Beboga! (Niji no Conquistador Ki Gumi),,,,
Zenkoku Seiha, Album,07/10/2009,rhythm zone,avex Marketing,Takeuchi Riki,,,,
Zenkoku e JUMP Tour 2013, DVD,13/11/2014,J Storm,Sony Music Entertainment Japan,Hey! Say! JUMP,"Ami (J-Pop),EMI K. Lynn,Komei Kobayashi,Kubota Yoji,ma-saya,Morikawa Kaori,MSS,Murano Chokkyu,Nakajima Yuto,Nojima Shinji,Okajima Kanata,Okamoto Keito,Yabu Kota,Yaotome Hikaru,zopp","Andreas Öhrn,BOUNCEBACK,Filip Lindfors,h-wonder,Hara Kazuhiro (compositeur),Henrik Smith,Itagaki Yusuke (compositeur),Kato Yusuke (compositeur),Makaino Koji,Narumi Kazuto,Shigenaga Ryosuke,Steven Lee,Tommy Clint,TSUKASA (compositeur),Yaotome Hikaru","CHOKKAKU,Funayama Motoki,ha-j,Iehara Masaki,IkutaMachine,Ishizuka Tomoki,Isozaki Takeshi,Kawabata Yoshimasa,Makaino Koji,Niklas Edberger,Sato Yasumasa,Shimizu Akio,Steven Lee,Suzuki Masaya (compositeur),Takahashi Tetsuya (compositeur),Tommy Clint,Yoshioka Taku,Yuki Shinichi (compositeur)",
"Zenkeishiki Kusari Hateru Ima, Yuiitsu...", Single,27/02/2005,,,RENTRER EN SOI,,,,
Zenryoku☆Summer!, Single,05/07/2017,King Records,King Records,angela,atsuko [angela],"atsuko [angela],KATSU [angela]",KATSU [angela],
Zenryoku! Start / Yume no Tsuzuki, Single,20/05/2015,PONY CANYON,,Ganbare! Victory,Ganbare! Victory,,,
Zenryoku Shounen Remastered, Digital Single,03/04/2020,Augusta Records,Universal Music Japan (2),Sukima Switch,,,,
Zenryoku Shounen [Limited Edition], Single,20/04/2005,Augusta Records,Sony Music Entertainment Japan,Sukima Switch,"Ohashi Takuya,Tokita Shintaro","Ohashi Takuya,Tokita Shintaro",,
Zenryoku Shounen (produced by Tamio Okuda) [Limited Pressing], Single,30/11/2016,Ariola Japan,Sony Music Entertainment Japan,Sukima Switch,"Ohashi Takuya,Tokita Shintaro","Ohashi Takuya,Tokita Shintaro",Okuda Tamio,
Zenryoku Shounen, Single,20/04/2005,Augusta Records,Sony Music Entertainment Japan,Sukima Switch,"Ohashi Takuya,Tokita Shintaro","Ohashi Takuya,Tokita Shintaro",,
Zenryoku Jump! [Limited Edition / Type D], Single,11/09/2013,OMAGATOKI,Columbia Marketing,HR,,,,
Zenryoku Jump! [Limited Edition / Type C], Single,11/09/2013,OMAGATOKI,Columbia Marketing,HR,,,,
Zenryoku Jump! [Limited Edition / Type B], Single,11/09/2013,OMAGATOKI,Columbia Marketing,HR,,,,
Zenryoku Jump! [Limited Edition / Type A], Single,11/09/2013,OMAGATOKI,Columbia Marketing,HR,,,,
Zenryoku Jump!, Single,11/09/2013,OMAGATOKI,Columbia Marketing,HR,,,,
Zenryoku Hero, Digital Single,31/03/2016,Kobasolo,,Kobasolo,,,,
Zenryoku Batankyuu, Single,10/02/2016,ARUTEMATE,SPACE SHOWER NETWORKS,AOP,Ikenami Anju,,"Ariki Tatsuro,Ikenami Anju",
Zenkyokushuu Yuki ga Furu, Best Album,22/11/2006,Columbia Music Entertainment,,Tagawa Toshimi,"Aku Yu,Ikeda Mitsuo,Itsuki Hiroyuki,Mizuki Reiji,Ogura Kei,Saito Daizo,Sakaguchi Teruyuki,Taka Takashi,Takino Eiji,Yuuki Keiko","Horiuchi Takao,Ito Yukihiko (compositeur),Miyuki Kohei,Ogura Kei,Otani Meiyu,Suzuki Jun (compositeur),Tokuhisa Koji,Yomo Akito","Ido Norio,Maeda Toshiaki,Nango Tatsuya,Ryuzaki Koji,Wakakusa Kei",
Zenkyokushuu Koko wa Minatomachi, Best Album,23/11/2005,Columbia Music Entertainment,,Tagawa Toshimi,"Aku Yu,Ikeda Mitsuo,Itsuki Hiroyuki,Mizuki Reiji,Saito Daizo,Sakaguchi Teruyuki,Satomura Ryuichi,Takino Eiji,Yuuki Keiko","Horiuchi Takao,Ito Yukihiko (compositeur),Miyuki Kohei,Oka Chiaki,Otani Meiyu,Suzuki Jun (compositeur),Tokuhisa Koji,Yomo Akito","Ido Norio,Maeda Toshiaki,Nango Tatsuya,Ryuzaki Koji,Wakakusa Kei",
Zenkyokushuu Isoshigi - 2004, Album,20/10/2004,,,Kobayashi Sachiko,"Hoshino Tetsuro,Nakajima Miyuki,Takino Eiji","Endo Minoru,Nakajima Miyuki,Takino Eiji","Hagita Mitsuo,Saito Tsuneo,Sono Hiroaki",
Zenkyokushuu 2012, Best Album,30/11/2011,NAYUTAWAVE RECORDS,Universal Music Japan (2),Utagawa Fumiko,"Izuka Yoshimi,Miyagawa Hiroshi (compositeur 2),Mizuki Kaoru (parolier),Ono Katsuhiko,Satomura Ryuichi,Teppo Mitsusaburo,Utagawa Fumiko,Wada Kenichi","Endo Minoru,Goda Michito,Igarashi Yasuo,Kuni Hiroshi,Miura Hiroaki (compositeur),Miyagawa Hiroshi (compositeur 2),Oka Chiaki,Teppo Mitsusaburo","Ikeda Takaharu,Maeda Toshiaki,Tadano Michiyasu",
ZERO : FEVER Part.1 [INCEPTION Ver.], Mini-Album,29/07/2020,KQ Entertainment,,ATEEZ,"BUDDY (compositeur),EDEN (chanteur),Hong Joong [ATEEZ],Isaac Han,LEEZ,Min Gi [ATEEZ],Oliv,Ollounder,Peperoni,Sophiya","BUDDY (compositeur),EDEN (chanteur),Hong Joong [ATEEZ],LEEZ,Oliv,Ollounder,Peperoni","BUDDY (compositeur),EDEN (chanteur),Hong Joong [ATEEZ],LEEZ,Oliv,Ollounder,Peperoni",
ZERO : FEVER Part.1 [DIARY Ver.], Mini-Album,29/07/2020,KQ Entertainment,,ATEEZ,"BUDDY (compositeur),EDEN (chanteur),Hong Joong [ATEEZ],Isaac Han,LEEZ,Min Gi [ATEEZ],Oliv,Ollounder,Peperoni,Sophiya","BUDDY (compositeur),EDEN (chanteur),Hong Joong [ATEEZ],LEEZ,Oliv,Ollounder,Peperoni","BUDDY (compositeur),EDEN (chanteur),Hong Joong [ATEEZ],LEEZ,Oliv,Ollounder,Peperoni",
ZERO : FEVER EPILOGUE [Z Ver.], Mini-Album,10/12/2021,KQ Entertainment,,ATEEZ,,,,
ZERO : FEVER EPILOGUE [DIARY Ver.], Mini-Album,10/12/2021,KQ Entertainment,,ATEEZ,,,,
ZERO : FEVER EPILOGUE [A Ver.], Mini-Album,10/12/2021,KQ Entertainment,,ATEEZ,,,,
ZERO, Digital Single,07/10/2021,S.A ITainment,Genie Music,CRAXY,,,,
Zero, Mini-Album,18/05/2020,INforMEL,,INforMEL,,,,
ZERO, Digital Single,23/07/2018,Nexon,LOEN Entertainment,Min Seo (chanteuse),,,,
Zero, Digital Single,23/09/2017,,,SECONDWALL,,,,
ZERO, Mini-Album,08/05/2018,Amuse Korea,Genie Music,CROSS GENE,"Bull$EyE,Cosmic Girl,Cosmic Sound,Hong Ji Yu,Jeong Yun Hwa,Yun Dak [O Broject],ZNEE","Ashley Milton,Bull$EyE,BullySongs,Cosmic Girl,Cosmic Sound,Daniel Goudie,Hong Ji Yu,Kyler Niko,Ryan S. Jhun,Scott Russell Stoddart","Bull$EyE,Cosmic Girl,Cosmic Sound,Hong Ji Yu,Kyler Niko,Laconic,Ryan S. Jhun,Scott Russell Stoddart",
Zero, Mini-Album,09/05/2018,Koga Records,,Soko ni Naru,,,,
Zero, Mini-Album,22/06/2016,TOHO Entertainment,,OnePixcel,,,,
ZERO, Album,01/07/2015,NBCUniversal Entertainment Japan,,Gero,,,,
Zero, Single,19/10/2011,TOY'S FACTORY,TOY'S FACTORY,BUMP OF CHICKEN,Fujiwara Motoo,,,
ZERO, Single,08/04/2015,Lantis,Bandai Visual,Ono Kensho,R・O・N,,R・O・N,
ZERO, Single,23/07/2014,Aniplex,,"AG7,Kobayashi Tatsuyuki","Hata Aki,KOTOKO","Asakura Noriyuki,Iwahashi Seima","Iwahashi Seima,Kume Yasutaka",
zero soul seven IV, Album,07/01/2009,,,0SOUL7,,,,
ZERO SOUL SEVEN III, Album,06/02/2008,Daiki Sound,,0SOUL7,,,,
ZERO SOUL SEVEN II, Album,02/05/2007,Daiki Sound,,0SOUL7,,,,
ZERO SOUL SEVEN, Album,13/09/2006,Daiki Sound,,0SOUL7,,,,
Zero Seisen [Limited Edition], Album,02/05/2018,B.P.RECORDS,BM.3 Music,Zero [Hz],,,,
Zero Seisen, Album,02/05/2018,B.P.RECORDS,BM.3 Music,Zero [Hz],,,,
ZERO SATISFACTION [Limited Edition], Single,21/03/2012,DefSTAR RECORDS,Sony Music Entertainment Japan,ROOKIEZ is PUNK'D,SHiNNOSUKE [ROOKIEZ is PUNK'D],,"akkin,ROOKIEZ is PUNK'D",
ZERO SATISFACTION, Single,21/03/2012,DefSTAR RECORDS,DefSTAR RECORDS,ROOKIEZ is PUNK'D,SHiNNOSUKE [ROOKIEZ is PUNK'D],,,
ZERO ONE, Album,23/10/2013,,Sony Music Entertainment Japan,DIV,CHISA [ACME],,,
Zero no Tsukaima Louise BEST, Album,04/02/2009,NIPPON COLUMBIA (2010),,Kugimiya Rie,Mori Yuriko (parolière),"Arai Riki,Makino Kousuke","Arai Riki,Watanabe Cher",
Zero no Kimochi, Single,23/08/2006,,,doa,,,,
ZERO no keifu, Album,29/09/2004,,,UCHUSENTAI:NOIZ,,,,
Zero no hana, Single,11/12/2009,,,Chain and envy,,,,
Zero no Chouritsu, Single,30/07/2008,OTOKURA RECORD,,Amano Tsuki,,,,
Zero ni Natte, Digital Single,20/10/2021,,,Shimizu Yoko,,,,
ZERO LIVE TOUR 2019 [Blu-ray], Blu-ray,29/01/2020,MASTERSIX FOUNDATION,Sony Music Labels,Kamiji Yusuke,Kamiji Yusuke,"Kamiji Yusuke,Soulife,Tanaka Hirokazu","CHOKKAKU,Soulife",
Zetsubou wo Katsubou Suru Shin Jidai, Digital Single,14/10/2019,,TuneCore Japan,USAGUILTY,,,,
"Zetsubou wo kanaderu furodokei, haiiro no piano", Album,19/09/2006,,,emmurée,,,,
Zetsubou to iu na no hanataba wo watashi ni, Single,11/05/2011,,,8-eit,,,,
Zetsubou restaurant, Single,05/08/2009,King Records,,Zetsubou Shoujotachi,Tadano Natsumi,,Hashimoto Yukari,
Zetsubou Rakuen DEMO -Digital Mix-, Digital Single,09/10/2018,Danger Crue Records,Maverick,MUCC,,,,
Zetsubou Rakuen DEMO, Cassette audio,03/10/2018,Danger Crue Records,Maverick,MUCC,,,,
Zetsubou no Oka, Single,25/07/1998,EntrancE,Warner Music Japan,Plastic Tree,Ryutaro [Plastic Tree],"Hasegawa Tadashi [Plastic Tree],Ryutaro [Plastic Tree]",,
zetsubou no hibi, Single,26/07/2006,,,Cannival Method,,,,
zetsubou no hako, Demo Tape,1993,,,Gesshoku,,,,
Zetsubou no Gosenfu, Mini-Album,23/04/2014,Starwave Records,"FWD, Inc.",Calmando Qual,,,,
Zetsubou no Cantera, Single,18/08/2009,,,Amber Bullet,,,,
